FTICR_ID,Core,Suction,Soil_Moisture,Rewetting,Amendments,Homogenization,cumCO2-C_mg,cumCH4-C_mg,Porosity,water_Imbibed,_WFPS
LIntCal_0_163,59,15,Drought Induced,groundwater rise,N,Homogenized,0.00247683,1.76E-09,0.521607986,35.66,68.36551772
LIntCal_0_200,59,50,Drought Induced,groundwater rise,N,Homogenized,0.00247683,1.76E-09,0.521607986,35.66,68.36551772
LIntCal_0_242,59,1.5,Drought Induced,groundwater rise,N,Intact,0.00166921,1.07E-09,0.556655044,27.46,49.33037129
LIntCal_0_255,59,15,Drought Induced,groundwater rise,N,Intact,0.00166921,1.07E-09,0.556655044,27.46,49.33037129
LIntCal_0_247,59,50,Drought Induced,groundwater rise,N,Intact,0.00166921,1.07E-09,0.556655044,27.46,49.33037129
LIntCal_0_90,6,1.5,Field Moisture,groundwater rise,C,Homogenized,0.00468205,1.55E-09,0.578733829,27.3,47.17194441
LIntCal_0_105,6,15,Field Moisture,groundwater rise,C,Homogenized,0.00468205,1.55E-09,0.578733829,27.3,47.17194441
LIntCal_0_75,6,50,Field Moisture,groundwater rise,C,Homogenized,0.00468205,1.55E-09,0.578733829,27.3,47.17194441
LIntCal_0_29,6,1.5,Field Moisture,groundwater rise,C,Intact,0.00373915,7.36E-10,0.563231998,23.56,41.83000984
LIntCal_0_35,6,15,Field Moisture,groundwater rise,C,Intact,0.00373915,7.36E-10,0.563231998,23.56,41.83000984
LIntCal_0_67,6,50,Field Moisture,groundwater rise,C,Intact,0.00373915,7.36E-10,0.563231998,23.56,41.83000984
LIntCal_0_111,60,1.5,Field Moisture,groundwater rise,control,Homogenized,0.00079453,3.09E-10,0.546775907,24.36,44.5520728
LIntCal_0_127,60,15,Field Moisture,groundwater rise,control,Homogenized,0.00079453,3.09E-10,0.546775907,24.36,44.5520728
LIntCal_0_141,60,50,Field Moisture,groundwater rise,control,Homogenized,0.00079453,3.09E-10,0.546775907,24.36,44.5520728
LIntCal_0_12,60,1.5,Field Moisture,groundwater rise,control,Intact,0.00197004,4.66E-10,0.530696458,6.48,12.21036979
LIntCal_0_48,60,15,Field Moisture,groundwater rise,control,Intact,0.00197004,4.66E-10,0.530696458,6.48,12.21036979
LIntCal_0_145,62,1.5,Drought Induced,precipitation,N,Homogenized,0.00178788,1.80E-09,0.523532598,38.13,72.83214101
LIntCal_0_155,62,15,Drought Induced,precipitation,N,Homogenized,0.00178788,1.80E-09,0.523532598,38.13,72.83214101
LIntCal_0_253,62,50,Drought Induced,precipitation,N,Homogenized,0.00178788,1.80E-09,0.523532598,38.13,72.83214101
LIntCal_0_239,62,1.5,Drought Induced,precipitation,N,Intact,0.00134513,1.67E-09,0.53544606,24.3,45.38272259
LIntCal_0_158,62,15,Drought Induced,precipitation,N,Intact,0.00134513,1.67E-09,0.53544606,24.3,45.38272259
LIntCal_0_262,62,50,Drought Induced,precipitation,N,Intact,0.00134513,1.67E-09,0.53544606,24.3,45.38272259
LIntCal_0_143,63,1.5,Field Moisture,groundwater rise,N,Homogenized,0.000794,7.78E-10,0.528391432,20.38,38.56989111
LIntCal_0_95,63,15,Field Moisture,groundwater rise,N,Homogenized,0.000794,7.78E-10,0.528391432,20.38,38.56989111
LIntCal_0_84,63,50,Field Moisture,groundwater rise,N,Homogenized,0.000794,7.78E-10,0.528391432,20.38,38.56989111
LIntCal_0_40,63,1.5,Field Moisture,groundwater rise,N,Intact,0.0006678,1.01E-09,0.518575913,13.88,26.76560877
LIntCal_0_31,63,15,Field Moisture,groundwater rise,N,Intact,0.0006678,1.01E-09,0.518575913,13.88,26.76560877
LIntCal_0_65,63,50,Field Moisture,groundwater rise,N,Intact,0.0006678,1.01E-09,0.518575913,13.88,26.76560877
LIntCal_0_156,7,1.5,Drought Induced,groundwater rise,C,Homogenized,0.00956528,2.67E-09,0.546352824,41.83,76.56224732
LIntCal_0_207,7,15,Drought Induced,groundwater rise,C,Homogenized,0.00956528,2.67E-09,0.546352824,41.83,76.56224732
LIntCal_0_288,7,50,Drought Induced,groundwater rise,C,Homogenized,0.00956528,2.67E-09,0.546352824,41.83,76.56224732
LIntCal_0_177,7,15,Drought Induced,groundwater rise,C,Intact,0.00511206,1.15E-09,0.574684938,30.3,52.72454177
LIntCal_0_210,7,50,Drought Induced,groundwater rise,C,Intact,0.00511206,1.15E-09,0.574684938,30.3,52.72454177
LIntCal_0_125,8,1.5,Field Moisture,groundwater rise,control,Homogenized,0.00263274,1.97E-09,0.602737193,20.21,33.53036818
LIntCal_0_115,8,15,Field Moisture,groundwater rise,control,Homogenized,0.00263274,1.97E-09,0.602737193,20.21,33.53036818
LIntCal_0_120,8,50,Field Moisture,groundwater rise,control,Homogenized,0.00263274,1.97E-09,0.602737193,20.21,33.53036818
LIntCal_0_52,8,1.5,Field Moisture,groundwater rise,control,Intact,0.00131546,5.09E-10,0.59744186,19.46,32.57220712
LIntCal_0_19,8,15,Field Moisture,groundwater rise,control,Intact,0.00131546,5.09E-10,0.59744186,19.46,32.57220712
LIntCal_0_71,8,50,Field Moisture,groundwater rise,control,Intact,0.00131546,5.09E-10,0.59744186,19.46,32.57220712
