"FTICR_ID","Core","Suction","Moisture","Wetting","Amendments","Homogenization","Assignment"
"LIntCal_0_271",27,1.5,"drought","groundw","control","Homogenized","1.5-drought-groundw-control-Homogenized"
"LIntCal_0_186",27,15,"drought","groundw","control","Homogenized","15-drought-groundw-control-Homogenized"
"LIntCal_0_201",27,1.5,"drought","groundw","control","Intact","1.5-drought-groundw-control-Intact"
"LIntCal_0_134",28,1.5,"fm","precip","N","Homogenized","1.5-fm-precip-N-Homogenized"
"LIntCal_0_104",28,15,"fm","precip","N","Homogenized","15-fm-precip-N-Homogenized"
"LIntCal_0_131",28,50,"fm","precip","N","Homogenized","50-fm-precip-N-Homogenized"
"LIntCal_0_45",28,1.5,"fm","precip","N","Intact","1.5-fm-precip-N-Intact"
"LIntCal_0_22",28,15,"fm","precip","N","Intact","15-fm-precip-N-Intact"
"LIntCal_0_36",28,50,"fm","precip","N","Intact","50-fm-precip-N-Intact"
"LIntCal_0_287",29,1.5,"drought","precip","C","Homogenized","1.5-drought-precip-C-Homogenized"
"LIntCal_0_219",29,15,"drought","precip","C","Homogenized","15-drought-precip-C-Homogenized"
"LIntCal_0_218",29,50,"drought","precip","C","Homogenized","50-drought-precip-C-Homogenized"
"LIntCal_0_184",29,1.5,"drought","precip","C","Intact","1.5-drought-precip-C-Intact"
"LIntCal_0_206",29,15,"drought","precip","C","Intact","15-drought-precip-C-Intact"
"LIntCal_0_113",3,1.5,"fm","precip","C","Homogenized","1.5-fm-precip-C-Homogenized"
"LIntCal_0_81",3,15,"fm","precip","C","Homogenized","15-fm-precip-C-Homogenized"
"LIntCal_0_91",3,50,"fm","precip","C","Homogenized","50-fm-precip-C-Homogenized"
"LIntCal_0_44",3,1.5,"fm","precip","C","Intact","1.5-fm-precip-C-Intact"
"LIntCal_0_8",3,15,"fm","precip","C","Intact","15-fm-precip-C-Intact"
"LIntCal_0_27",3,50,"fm","precip","C","Intact","50-fm-precip-C-Intact"
"LIntCal_0_std2_day2",32,1.5,"fm","groundw","N","Homogenized","1.5-fm-groundw-N-Homogenized"
"LIntCal_0_144",32,50,"fm","groundw","N","Homogenized","50-fm-groundw-N-Homogenized"
"LIntCal_0_std1_day2",32,1.5,"fm","groundw","N","Intact","1.5-fm-groundw-N-Intact"
"LIntCal_0_58",32,15,"fm","groundw","N","Intact","15-fm-groundw-N-Intact"
"LIntCal_0_26",32,50,"fm","groundw","N","Intact","50-fm-groundw-N-Intact"
"LIntCal_0_264",33,1.5,"drought","precip","C","Homogenized","1.5-drought-precip-C-Homogenized"
"LIntCal_0_277",33,15,"drought","precip","C","Homogenized","15-drought-precip-C-Homogenized"
"LIntCal_0_250true",33,50,"drought","precip","C","Homogenized","50-drought-precip-C-Homogenized"
"LIntCal_0_198",33,1.5,"drought","precip","C","Intact","1.5-drought-precip-C-Intact"
"LIntCal_0_99",35,1.5,"fm","precip","C","Homogenized","1.5-fm-precip-C-Homogenized"
"LIntCal_0_94",35,15,"fm","precip","C","Homogenized","15-fm-precip-C-Homogenized"
"LIntCal_0_103",35,50,"fm","precip","C","Homogenized","50-fm-precip-C-Homogenized"
"LIntCal_0_33",35,1.5,"fm","precip","C","Intact","1.5-fm-precip-C-Intact"
"LIntCal_0_59",35,50,"fm","precip","C","Intact","50-fm-precip-C-Intact"
"LIntCal_0_181",36,15,"drought","groundw","C","Homogenized","15-drought-groundw-C-Homogenized"
"LIntCal_0_276",36,50,"drought","groundw","C","Homogenized","50-drought-groundw-C-Homogenized"
"LIntCal_0_169",36,1.5,"drought","groundw","C","Intact","1.5-drought-groundw-C-Intact"
"LIntCal_0_174",36,15,"drought","groundw","C","Intact","15-drought-groundw-C-Intact"
"LIntCal_0_238",36,50,"drought","groundw","C","Intact","50-drought-groundw-C-Intact"
"LIntCal_0_88",37,1.5,"fm","precip","control","Homogenized","1.5-fm-precip-control-Homogenized"
"LIntCal_0_116",37,15,"fm","precip","control","Homogenized","15-fm-precip-control-Homogenized"
"LIntCal_0_112",37,50,"fm","precip","control","Homogenized","50-fm-precip-control-Homogenized"
"LIntCal_0_42",37,1.5,"fm","precip","control","Intact","1.5-fm-precip-control-Intact"
"LIntCal_0_30",37,15,"fm","precip","control","Intact","15-fm-precip-control-Intact"
"LIntCal_0_17",37,50,"fm","precip","control","Intact","50-fm-precip-control-Intact"
"LIntCal_0_107",38,1.5,"fm","groundw","C","Homogenized","1.5-fm-groundw-C-Homogenized"
"LIntCal_0_83",38,50,"fm","groundw","C","Homogenized","50-fm-groundw-C-Homogenized"
"LIntCal_0_14",38,1.5,"fm","groundw","C","Intact","1.5-fm-groundw-C-Intact"
"LIntCal_0_54",38,15,"fm","groundw","C","Intact","15-fm-groundw-C-Intact"
"LIntCal_0_46",38,50,"fm","groundw","C","Intact","50-fm-groundw-C-Intact"
"LIntCal_0_191",39,1.5,"drought","precip","control","Homogenized","1.5-drought-precip-control-Homogenized"
"LIntCal_0_249",39,15,"drought","precip","control","Homogenized","15-drought-precip-control-Homogenized"
"LIntCal_0_211",39,50,"drought","precip","control","Homogenized","50-drought-precip-control-Homogenized"
"LIntCal_0_282",39,1.5,"drought","precip","control","Intact","1.5-drought-precip-control-Intact"
"LIntCal_0_269",39,15,"drought","precip","control","Intact","15-drought-precip-control-Intact"
"LIntCal_0_279",39,50,"drought","precip","control","Intact","50-drought-precip-control-Intact"
"LIntCal_0_159",4,1.5,"drought","groundw","N","Homogenized","1.5-drought-groundw-N-Homogenized"
"LIntCal_0_251",4,50,"drought","groundw","N","Homogenized","50-drought-groundw-N-Homogenized"
"LIntCal_0_161",4,1.5,"drought","groundw","N","Intact","1.5-drought-groundw-N-Intact"
"LIntCal_0_195",4,15,"drought","groundw","N","Intact","15-drought-groundw-N-Intact"
"LIntCal_0_252",40,1.5,"drought","groundw","control","Homogenized","1.5-drought-groundw-control-Homogenized"
"LIntCal_0_229",40,15,"drought","groundw","control","Homogenized","15-drought-groundw-control-Homogenized"
"LIntCal_0_233",40,50,"drought","groundw","control","Homogenized","50-drought-groundw-control-Homogenized"
"LIntCal_0_268",40,1.5,"drought","groundw","control","Intact","1.5-drought-groundw-control-Intact"
"LIntCal_0_258",40,15,"drought","groundw","control","Intact","15-drought-groundw-control-Intact"
"LIntCal_0_179",43,1.5,"drought","groundw","N","Homogenized","1.5-drought-groundw-N-Homogenized"
"LIntCal_0_196",43,15,"drought","groundw","N","Homogenized","15-drought-groundw-N-Homogenized"
"LIntCal_0_185",43,50,"drought","groundw","N","Homogenized","50-drought-groundw-N-Homogenized"
"LIntCal_0_167",43,15,"drought","groundw","N","Intact","15-drought-groundw-N-Intact"
"LIntCal_0_170",43,50,"drought","groundw","N","Intact","50-drought-groundw-N-Intact"
"LIntCal_0_137",44,15,"fm","precip","N","Homogenized","15-fm-precip-N-Homogenized"
"LIntCal_0_129",44,50,"fm","precip","N","Homogenized","50-fm-precip-N-Homogenized"
"LIntCal_0_39",44,1.5,"fm","precip","N","Intact","1.5-fm-precip-N-Intact"
"LIntCal_0_4",44,15,"fm","precip","N","Intact","15-fm-precip-N-Intact"
"LIntCal_0_63",44,50,"fm","precip","N","Intact","50-fm-precip-N-Intact"
"LIntCal_0_214",45,15,"drought","precip","N","Homogenized","15-drought-precip-N-Homogenized"
"LIntCal_0_173",45,50,"drought","precip","N","Homogenized","50-drought-precip-N-Homogenized"
"LIntCal_0_189",45,1.5,"drought","precip","N","Intact","1.5-drought-precip-N-Intact"
"LIntCal_0_146",45,15,"drought","precip","N","Intact","15-drought-precip-N-Intact"
"LIntCal_0_259",45,50,"drought","precip","N","Intact","50-drought-precip-N-Intact"
"LIntCal_0_123",47,1.5,"fm","groundw","N","Homogenized","1.5-fm-groundw-N-Homogenized"
"LIntCal_0_87",47,15,"fm","groundw","N","Homogenized","15-fm-groundw-N-Homogenized"
"LIntCal_0_62",47,1.5,"fm","groundw","N","Intact","1.5-fm-groundw-N-Intact"
"LIntCal_0_37",47,15,"fm","groundw","N","Intact","15-fm-groundw-N-Intact"
"LIntCal_0_47",47,50,"fm","groundw","N","Intact","50-fm-groundw-N-Intact"
"LIntCal_0_128",48,1.5,"fm","groundw","control","Homogenized","1.5-fm-groundw-control-Homogenized"
"LIntCal_0_101",48,15,"fm","groundw","control","Homogenized","15-fm-groundw-control-Homogenized"
"LIntCal_0_122",48,50,"fm","groundw","control","Homogenized","50-fm-groundw-control-Homogenized"
"LIntCal_0_21",48,1.5,"fm","groundw","control","Intact","1.5-fm-groundw-control-Intact"
"LIntCal_0_13",48,15,"fm","groundw","control","Intact","15-fm-groundw-control-Intact"
"LIntCal_0_1",48,50,"fm","groundw","control","Intact","50-fm-groundw-control-Intact"
"LIntCal_0_182",5,1.5,"drought","precip","N","Homogenized","1.5-drought-precip-N-Homogenized"
"LIntCal_0_150",5,15,"drought","precip","N","Homogenized","15-drought-precip-N-Homogenized"
"LIntCal_0_254",5,50,"drought","precip","N","Homogenized","50-drought-precip-N-Homogenized"
"LIntCal_0_151",5,1.5,"drought","precip","N","Intact","1.5-drought-precip-N-Intact"
"LIntCal_0_153",5,15,"drought","precip","N","Intact","15-drought-precip-N-Intact"
"LIntCal_0_236",5,50,"drought","precip","N","Intact","50-drought-precip-N-Intact"
"LIntCal_0_93",50,1.5,"fm","precip","C","Homogenized","1.5-fm-precip-C-Homogenized"
"LIntCal_0_117",50,50,"fm","precip","C","Homogenized","50-fm-precip-C-Homogenized"
"LIntCal_0_70",50,15,"fm","precip","C","Intact","15-fm-precip-C-Intact"
"LIntCal_0_55",50,50,"fm","precip","C","Intact","50-fm-precip-C-Intact"
"LIntCal_0_209",51,1.5,"drought","precip","control","Homogenized","1.5-drought-precip-control-Homogenized"
"LIntCal_0_148",51,15,"drought","precip","control","Homogenized","15-drought-precip-control-Homogenized"
"LIntCal_0_244",51,1.5,"drought","precip","control","Intact","1.5-drought-precip-control-Intact"
"LIntCal_0_286",51,50,"drought","precip","control","Intact","50-drought-precip-control-Intact"
