"Core","SampleAssignment","Moisture","Wetting","Suction","Homogenization","Amendments","class","abund","total","relabund"
7,"50-drought-groundw-C-Homogenized","drought","groundw",50,"Homogenized","C","aromatic",814,3757,21.67
7,"50-drought-groundw-C-Homogenized","drought","groundw",50,"Homogenized","C","condensed_arom",710,3757,18.9
7,"50-drought-groundw-C-Homogenized","drought","groundw",50,"Homogenized","C","unsaturated/lignin",1663,3757,44.26
7,"50-drought-groundw-C-Intact","drought","groundw",50,"Intact","C","aliphatic",781,2932,26.64
7,"50-drought-groundw-C-Intact","drought","groundw",50,"Intact","C","aromatic",481,2932,16.41
7,"50-drought-groundw-C-Intact","drought","groundw",50,"Intact","C","condensed_arom",256,2932,8.73
7,"50-drought-groundw-C-Intact","drought","groundw",50,"Intact","C","unsaturated/lignin",1414,2932,48.23
8,"1.5-fm-groundw-control-Homogenized","fm","groundw",1.5,"Homogenized","control","aliphatic",328,1142,28.72
8,"1.5-fm-groundw-control-Homogenized","fm","groundw",1.5,"Homogenized","control","aromatic",92,1142,8.06
8,"1.5-fm-groundw-control-Homogenized","fm","groundw",1.5,"Homogenized","control","condensed_arom",185,1142,16.2
8,"1.5-fm-groundw-control-Homogenized","fm","groundw",1.5,"Homogenized","control","unsaturated/lignin",537,1142,47.02
8,"1.5-fm-groundw-control-Intact","fm","groundw",1.5,"Intact","control","aliphatic",326,997,32.7
8,"1.5-fm-groundw-control-Intact","fm","groundw",1.5,"Intact","control","aromatic",66,997,6.62
8,"1.5-fm-groundw-control-Intact","fm","groundw",1.5,"Intact","control","condensed_arom",137,997,13.74
8,"1.5-fm-groundw-control-Intact","fm","groundw",1.5,"Intact","control","unsaturated/lignin",468,997,46.94
8,"50-fm-groundw-control-Homogenized","fm","groundw",50,"Homogenized","control","aliphatic",457,3040,15.03
8,"50-fm-groundw-control-Homogenized","fm","groundw",50,"Homogenized","control","aromatic",707,3040,23.26
8,"50-fm-groundw-control-Homogenized","fm","groundw",50,"Homogenized","control","condensed_arom",459,3040,15.1
8,"50-fm-groundw-control-Homogenized","fm","groundw",50,"Homogenized","control","unsaturated/lignin",1417,3040,46.61
8,"50-fm-groundw-control-Intact","fm","groundw",50,"Intact","control","aliphatic",292,1421,20.55
8,"50-fm-groundw-control-Intact","fm","groundw",50,"Intact","control","aromatic",248,1421,17.45
8,"50-fm-groundw-control-Intact","fm","groundw",50,"Intact","control","condensed_arom",105,1421,7.39
8,"50-fm-groundw-control-Intact","fm","groundw",50,"Intact","control","unsaturated/lignin",776,1421,54.61
10,"1.5-drought-precip-C-Intact","drought","precip",1.5,"Intact","C","aliphatic",523,1480,35.34
10,"1.5-drought-precip-C-Intact","drought","precip",1.5,"Intact","C","aromatic",87,1480,5.88
10,"1.5-drought-precip-C-Intact","drought","precip",1.5,"Intact","C","condensed_arom",165,1480,11.15
10,"1.5-drought-precip-C-Intact","drought","precip",1.5,"Intact","C","unsaturated/lignin",705,1480,47.64
10,"50-drought-precip-C-Homogenized","drought","precip",50,"Homogenized","C","aliphatic",187,521,35.89
10,"50-drought-precip-C-Homogenized","drought","precip",50,"Homogenized","C","aromatic",31,521,5.95
10,"50-drought-precip-C-Homogenized","drought","precip",50,"Homogenized","C","condensed_arom",90,521,17.27
10,"50-drought-precip-C-Homogenized","drought","precip",50,"Homogenized","C","unsaturated/lignin",213,521,40.88
10,"50-drought-precip-C-Intact","drought","precip",50,"Intact","C","aliphatic",714,2823,25.29
10,"50-drought-precip-C-Intact","drought","precip",50,"Intact","C","aromatic",349,2823,12.36
